Employee_ID,Age,Experience_Years,Department,Education_Level,Training_Hours,Salary,Performance_Rating
1001,50,30,Marketing,Masters,19,147917,Low
1002,36,12,Marketing,Masters,92,90910,Medium
1003,29,9,IT,Masters,34,88816,Low
1004,42,22,IT,PhD,77,137746,High
1005,40,18,Finance,Bachelors,70,124318,Medium
1006,44,21,Marketing,PhD,38,120905,High
1007,32,8,HR,Bachelors,28,76766,Low
1008,32,10,IT,Bachelors,52,92836,Low
1009,45,22,Finance,Bachelors,75,131823,Medium
1010,57,34,Marketing,Bachelors,83,160564,High
1011,45,24,Marketing,Bachelors,70,128808,High
1012,24,0,HR,Bachelors,52,53872,Low
1013,43,20,Finance,Bachelors,34,128383,Low
1014,23,1,Marketing,Masters,29,55283,Low
1015,45,24,IT,Masters,57,141130,Medium
1016,51,27,HR,Bachelors,92,133940,High
1017,59,39,Finance,Bachelors,96,190745,High
1018,23,1,HR,Bachelors,33,48371,Low
1019,42,19,IT,Bachelors,20,130797,Medium
1020,54,31,Finance,Bachelors,64,159407,High
1021,33,11,HR,Bachelors,37,84911,Low
1022,43,20,Sales,Bachelors,78,122111,Medium
1023,46,25,IT,PhD,72,146703,Medium
1024,48,24,IT,Bachelors,68,146330,Medium
1025,49,28,IT,Bachelors,14,155836,Low
1026,37,14,Sales,Bachelors,60,97094,Medium
1027,36,16,Sales,Bachelors,30,110499,Medium
1028,24,0,Marketing,Bachelors,21,56674,Low
1029,58,34,HR,Masters,59,151571,High
1030,28,6,Marketing,Bachelors,13,71640,Low
1031,42,20,HR,Bachelors,51,107237,High
1032,30,10,Sales,PhD,93,86959,High
1033,39,15,Sales,Masters,47,100028,Low
1034,25,5,Marketing,Masters,34,69713,Low
1035,46,24,Finance,Bachelors,23,143624,Low
1036,35,13,Marketing,Masters,84,88541,Low
1037,30,6,HR,Bachelors,41,72726,Low
1038,47,26,Marketing,Bachelors,20,137312,Medium
1039,23,0,IT,Bachelors,70,58633,Low
1040,41,19,HR,Bachelors,27,103985,Medium
1041,49,27,HR,Bachelors,36,130932,Medium
1042,28,7,Finance,Bachelors,64,81193,Medium
1043,29,8,Sales,PhD,63,78955,Medium
1044,56,36,HR,PhD,91,162462,High
1045,35,15,Sales,Masters,96,108715,Medium
1046,38,15,Marketing,Bachelors,84,102641,Medium
1047,57,34,IT,Masters,30,181293,High
1048,25,1,Finance,Bachelors,53,56772,Low
1049,23,3,Sales,Masters,14,63846,Low
1050,27,5,HR,Bachelors,96,62575,Medium
1051,25,5,Sales,Masters,50,73429,Low
1052,50,28,HR,Bachelors,68,130581,High
1053,39,18,Sales,Masters,98,111084,High
1054,47,27,HR,PhD,63,128240,Medium
1055,55,34,Marketing,Bachelors,83,158514,High
1056,31,8,HR,Bachelors,31,76604,Low
1057,57,34,HR,PhD,92,155320,High
1058,35,11,IT,Bachelors,74,100761,Low
1059,52,32,HR,Masters,73,150043,High
1060,36,15,IT,Bachelors,80,116991,Medium
1061,29,7,Finance,Bachelors,13,80618,Low
1062,35,12,IT,Bachelors,74,99691,Medium
1063,44,21,Marketing,Bachelors,24,118892,Medium
1064,42,20,IT,Masters,85,129592,Medium
1065,37,16,Finance,Bachelors,31,111255,Medium
1066,39,18,Marketing,Bachelors,95,109823,High
1067,45,25,Sales,Bachelors,56,140284,High
1068,47,27,Sales,Bachelors,90,146708,High
1069,46,22,IT,Masters,55,135172,Medium
1070,50,27,IT,PhD,23,154972,High
1071,36,16,Finance,Bachelors,59,107228,Medium
1072,22,1,Finance,Masters,29,59897,Low
1073,46,24,HR,Masters,59,124954,High
1074,28,7,Finance,Bachelors,42,84259,Low
1075,30,7,HR,PhD,68,73130,Low
1076,45,24,Marketing,Bachelors,52,130019,Medium
1077,22,0,IT,Bachelors,88,64034,Low
1078,29,6,Marketing,Masters,21,75436,Low
1079,45,23,Finance,Bachelors,49,138380,High
1080,32,8,Marketing,Masters,29,76137,Low
1081,38,15,Marketing,Masters,47,96073,Medium
1082,29,7,Marketing,Bachelors,12,71565,Low
1083,56,32,Finance,Masters,37,168086,Medium
1084,56,32,Marketing,Bachelors,65,152290,High
1085,54,31,HR,Bachelors,99,140035,High
1086,26,6,Finance,Masters,22,81623,Low
1087,49,25,Marketing,PhD,86,126899,Medium
1088,28,4,Finance,Bachelors,75,69946,Low
1089,30,8,Sales,Bachelors,46,83347,Low
1090,29,8,HR,Masters,58,78241,Low
1091,33,10,Marketing,Masters,75,79062,Low
1092,55,32,Sales,Masters,45,163068,High
1093,54,34,Sales,Bachelors,63,162715,High
1094,44,24,Finance,Bachelors,35,139416,High
1095,45,22,Sales,Bachelors,84,126836,High
1096,58,38,HR,Masters,81,161799,High
1097,56,34,HR,Bachelors,49,153578,High
1098,43,20,IT,Bachelors,52,131850,Medium
1099,48,28,HR,PhD,31,134326,Medium
1100,56,33,Sales,Bachelors,29,165640,High
1101,22,1,HR,PhD,17,49802,Low
1102,56,32,Finance,Masters,38,165205,Medium
1103,58,35,IT,Masters,49,184015,High
1104,35,11,Sales,Bachelors,99,96429,Medium
1105,24,4,IT,Bachelors,39,71938,Low
1106,22,0,Sales,Masters,90,50535,Low
1107,26,3,Finance,Masters,93,64293,Low
1108,47,26,IT,Masters,64,153404,High
1109,35,15,Marketing,Bachelors,25,103010,Medium
1110,48,25,Sales,Masters,55,133367,Medium
1111,30,10,Marketing,Masters,71,84730,Low
1112,36,14,IT,Masters,16,106159,Low
1113,36,12,Marketing,Masters,89,89204,Medium
1114,47,25,Marketing,Masters,54,128064,Medium
1115,34,11,IT,Masters,68,94050,Medium
1116,53,32,Finance,Bachelors,65,162451,High
1117,53,33,Marketing,Bachelors,57,155780,High
1118,25,1,Marketing,Bachelors,36,57227,Low
1119,51,31,Finance,Bachelors,62,167707,High
1120,58,35,Marketing,Bachelors,96,159487,High
1121,44,24,Marketing,Bachelors,97,131361,High
1122,36,12,Marketing,Bachelors,82,86784,Medium
1123,50,27,HR,Bachelors,44,131540,High
1124,57,37,Finance,Masters,60,183875,High
1125,34,13,Marketing,PhD,93,88828,Low
1126,53,30,Finance,Bachelors,46,160787,Medium
1127,28,5,Sales,PhD,90,68103,Medium
1128,43,22,Sales,Bachelors,66,132532,Medium
1129,49,27,Marketing,Bachelors,17,141531,Medium
1130,23,0,Finance,Bachelors,88,61607,Low
1131,27,5,Finance,Bachelors,29,73844,Low
1132,49,29,Finance,Masters,62,155982,High
1133,49,28,HR,Masters,21,138290,High
1134,41,19,Sales,Bachelors,58,118358,Low
1135,51,28,Finance,Bachelors,26,155765,Medium
1136,32,12,Finance,Bachelors,73,102990,Medium
1137,49,29,HR,Bachelors,51,139382,Medium
1138,46,24,HR,Bachelors,38,125982,High
1139,54,32,Finance,Bachelors,28,166254,High
1140,22,1,IT,Masters,20,66848,Low
